0.039	0.071487	0.002184   
0.088	0.13772	0.006248
0.142	0.191984	0.006106
0.156	0.210132	0.01092
0.203	0.229999	0.007714
0.243	0.265356	0.012636
0.291	0.275868	0.014259
0.3	0.2811	0.0309
0.34	0.3026	0.02312
0.35	0.2912	0.02275
0.415	0.3071	0.01909
0.447	0.317817	0.018327
0.495	0.318285	0.01782
0.5	0.324	0.0175
0.59	0.33276	0.01947
0.623	0.340158	0.017444
0.67	0.34371	0.01742
0.79	0.33259	0.01817
1	0.31	0.018
1.132	0.28866	0.015848
1.177	0.308374	0.021186
1.401	0.263388	0.025218
1.45	0.27405	0.0145
1.644	0.244956	0.029592
1.72	0.22532	0.01376
2.48	0.17856	0.0124
3.41	0.12617	0.01023    
