   3.90000008E-02   7.05899969E-02   3.90000008E-02
   8.79999995E-02  0.141680002       3.20000015E-02
  0.142000005      0.200788006       2.70000007E-02
  0.156000003      0.217151999       3.70000005E-02
  0.202999994      0.251922995       2.60000005E-02
  0.243000001      0.278964013       3.59999985E-02
  0.291000009      0.297693014       1.60000008E-02
  0.300000012      0.305999994       1.60000008E-02
  0.340000004      0.332859993       1.79999992E-02
  0.349999994      0.323399991       5.09999990E-02
  0.414999992      0.357730001       1.40000004E-02
  0.446999997      0.371457011       1.20000001E-02
  0.495000005      0.375705004       1.09999999E-02
  0.500000000      0.379000008       9.99999978E-03
  0.589999974      0.394120008       9.99999978E-03
  0.623000026      0.398719996       9.99999978E-03
  0.670000017      0.410039991       9.99999978E-03
  0.790000021      0.413960010       9.99999978E-03
   1.00000000      0.437999994       1.40000004E-02
   1.13199997      0.421104014       8.00000038E-03
   1.17700005      0.437844008       8.99999961E-03
   1.40100002      0.390879005       1.20000001E-02
   1.45000005      0.404549986       8.00000038E-03
   1.64400005      0.406067997       1.20000001E-02
   1.72000003      0.397320002       1.09999999E-02
   2.48000002      0.344720006       3.00000003E-03
   3.41000009      0.296669990       2.00000009E-03
